time,dust,R_color_mean,R_color_median,R_color_mode,R_color_std,R_color_cv,R_color_kurtosis,R_color_skewness,R_color_max,R_color_min,R_color_cov_prev,R_texture_energy,R_texture_entropy,R_texture_contrast,R_texture_correlation,R_texture_homogeneity,G_color_mean,G_color_median,G_color_mode,G_color_std,G_color_cv,G_color_kurtosis,G_color_skewness,G_color_max,G_color_min,G_color_cov_prev,G_texture_energy,G_texture_entropy,G_texture_contrast,G_texture_correlation,G_texture_homogeneity,B_color_mean,B_color_median,B_color_mode,B_color_std,B_color_cv,B_color_kurtosis,B_color_skewness,B_color_max,B_color_min,B_color_cov_prev,B_texture_energy,B_texture_entropy,B_texture_contrast,B_texture_correlation,B_texture_homogeneity,Gray_color_mean,Gray_color_median,Gray_color_mode,Gray_color_std,Gray_color_cv,Gray_color_kurtosis,Gray_color_skewness,Gray_color_max,Gray_color_min,Gray_color_cov_prev,Gray_texture_energy,Gray_texture_entropy,Gray_texture_contrast,Gray_texture_correlation,Gray_texture_homogeneity
3128,4.55,1.277444858,-0.023943756,-0.119674053,3.018045517,0.857821096,-1.120556794,-0.005361041,-0.099746888,0,3.488394493,0.59451815,-0.579388668,-1.744793148,1.637246416,1.354609902,1.266530941,-0.031752586,-0.114880079,2.981254382,0.679897046,-1.104565938,-0.096829905,-0.133624653,0,3.457823773,0.345680529,-0.596974144,-1.81295964,1.573963704,1.175094619,1.295477382,0.079246905,-0.060578253,2.873827889,0.41941529,-1.103549057,-0.342600936,1.428585806,0,3.333614623,-0.05755657,-0.118052628,-1.953895703,1.54593676,1.014199678,1.270891304,-0.02089106,-0.121828648,2.978214339,0.681374029,-1.104317941,-0.102128821,0.789164329,0,3.454462828,0.462004999,-0.662171023,-1.821733483,1.578433929,1.231873246
3129,4.37,1.365098965,0.065001811,-0.119674053,3.096198673,0.798520755,-1.170182509,-0.073742683,-0.099746888,0,3.522527129,0.610350285,-0.656914304,-1.606601467,1.638777494,1.450917185,1.352970801,0.056651623,-0.114880079,3.052470636,0.620241467,-1.151527298,-0.165818375,-0.133624653,0,3.494064905,0.343189891,-0.653743701,-1.660433539,1.574232138,1.25525723,1.385263062,0.166857454,-0.060578253,2.950163025,0.361192542,-1.149723515,-0.409071049,1.281523032,0,3.380117653,-0.11878779,-0.117111745,-1.784847035,1.547107453,1.107965986,1.358014166,0.067522168,-0.121828648,3.050715313,0.621357991,-1.15153455,-0.171582464,-0.434571711,0,3.490704057,0.483162303,-0.733490418,-1.669620715,1.578923794,1.310375677
3130,4.53,1.242471789,-0.023943756,-0.119674053,3.011707514,0.904126374,-1.097935829,0.04224351,-0.401817741,0,3.475000256,0.675514216,-0.679054856,-1.60833001,1.628230523,1.549826629,1.234596034,-0.031752586,-0.114880079,2.982888779,0.724954452,-1.079248473,-0.038500726,-0.133624653,0,3.451636597,0.359460648,-0.625546515,-1.660596336,1.565888365,1.303029625,1.248478076,-0.008363644,-0.060578253,2.879339178,0.48565854,-1.075884977,-0.271143051,1.281523032,0,3.337371292,-0.058658214,-0.178127872,-1.814041626,1.53961205,1.248720561,1.237410999,-0.065097673,-0.121828648,2.977217369,0.726865164,-1.079803733,-0.045813573,-0.434571711,0,3.44622172,0.482208386,-0.69201073,-1.665980276,1.569855854,1.347924491
3131,4.38,1.313786658,0.020529027,-0.119674053,3.004543702,0.79312462,-1.15493197,-0.068157422,0.202323965,0,3.429023362,0.62009254,-0.592295767,-1.543032197,1.623349374,1.513441692,1.297613489,0.012449519,-0.114880079,2.970369287,0.629431042,-1.128083378,-0.142463392,0.479955076,0,3.413961867,0.291169471,-0.522049065,-1.590599407,1.560524995,1.283649718,1.333739833,0.079246905,-0.060578253,2.895557449,0.386220813,-1.114843713,-0.363250479,1.428585806,0,3.323680418,-0.172030825,-0.046962318,-1.720697215,1.537002777,1.133248361,1.304259931,0.023315554,-0.121828648,2.969457161,0.629056537,-1.128838569,-0.150250884,0.789164329,0,3.409065381,0.376774474,-0.553181952,-1.597938667,1.56518012,1.317835527
3132,4.52,1.317974979,0.065001811,-0.119674053,3.006534034,0.788814039,-1.187087364,-0.117089791,0.202323965,0,3.409062754,0.65697032,-0.496378352,-1.420744641,1.616222995,1.068732302,1.310936927,0.012449519,-0.114880079,2.984448555,0.622741038,-1.155438412,-0.185064594,-0.133624653,0,3.399042475,0.292345763,-0.418966666,-1.472038534,1.555822554,0.907365734,1.334859707,0.079246905,-0.060578253,2.903470131,0.390681687,-1.133738703,-0.386945185,1.281523032,0,3.326708334,-0.119990228,0.007328284,-1.570803485,1.530538256,0.757811231,1.314726369,0.023315554,-0.121828648,2.980691517,0.623906388,-1.155653464,-0.19166352,0.789164329,0,3.395656586,0.394213999,-0.466416773,-1.476560343,1.559981543,0.947365479
3133,4.23,1.377837027,0.065001811,-0.119674053,3.029997238,0.723899195,-1.243102127,-0.212564845,-0.099746888,0,3.459150788,0.588064917,-0.484027357,-1.495191183,1.623761625,1.276305974,1.37025774,0.056651623,-0.114880079,3.006083183,0.561779535,-1.209425659,-0.283440554,-0.747204383,0,3.457304907,0.240137201,-0.382446048,-1.548119661,1.562612082,1.082844098,1.405147167,0.123052179,-0.060578253,2.939050728,0.32815407,-1.18390062,-0.482673178,1.281523032,0,3.390933306,-0.14818876,0.029155681,-1.669036144,1.539991982,0.937855918,1.3752639,0.067522168,-0.121828648,3.004138357,0.562233009,-1.209158221,-0.289352912,-0.434571711,0,3.4530661,0.332105934,-0.424635282,-1.557253727,1.567258224,1.126208769
3134,4.29,1.369539624,0.020529027,-0.119674053,3.088171513,0.785329873,-1.25802814,-0.206493484,-0.401817741,0,3.530849854,0.633680375,-0.58499164,-2.087164751,1.666102016,1.323055815,1.363436281,-0.031752586,-0.114880079,3.062332502,0.614152844,-1.227856626,-0.284012845,-0.133624653,0,3.526340031,0.264750525,-0.45854614,-2.157170304,1.601754382,1.133109312,1.395519553,0.079246905,-0.060578253,2.99973213,0.384680175,-1.207108276,-0.488890938,1.281523032,0,3.474360856,-0.115755495,-0.063475609,-2.35239624,1.580752097,1.005489704,1.367788028,-0.02089106,-0.121828648,3.061377494,0.616764946,-1.22724133,-0.288987554,-0.434571711,0,3.524445996,0.369362071,-0.514332035,-2.169184141,1.606668694,1.170039457
3135,4.04,1.490742467,0.020529027,-0.119674053,3.262180225,0.762610848,-1.347146456,-0.315323703,0.202323965,0,3.597731821,0.664082521,-0.71967117,-1.973497869,1.679190098,1.608416402,1.490707658,0.012449519,-0.114880079,3.234945571,0.582090545,-1.315068906,-0.403120475,-0.747204383,0,3.588747004,0.308840611,-0.638170337,-2.039194389,1.614097031,1.37901225,1.524115673,0.123052179,-0.060578253,3.156765415,0.339140644,-1.294194832,-0.615586137,1.281523032,0,3.520257172,-0.080781746,-0.203398254,-2.224952961,1.592119173,1.268722913,1.49354122,0.023315554,-0.121828648,3.232255901,0.585150964,-1.31391092,-0.406727226,-0.434571711,0,3.586362397,0.429195696,-0.718947075,-2.049791855,1.618838499,1.424202378
3136,4.29,1.557853032,0.198420161,-0.119674053,3.249754198,0.661570423,-1.367892074,-0.395075307,0.504394817,0,3.718650567,0.686561626,-0.644896341,-1.796541937,1.66785107,1.308671928,1.558733692,0.189257936,-0.114880079,3.233731045,0.496775719,-1.332059979,-0.474741012,-0.747204383,0,3.722063124,0.318811574,-0.58720253,-1.85953874,1.604888122,1.120295137,1.595378556,0.254468002,-0.060578253,3.177684179,0.268988462,-1.306433046,-0.670686439,1.281523032,0,3.662509458,-0.070999481,-0.141059407,-2.007941191,1.584367223,1.000810188,1.561337707,0.200142009,-0.121828648,3.229694593,0.498272118,-1.331068266,-0.478676763,-0.434571711,0,3.716678801,0.463298454,-0.668792359,-1.867397217,1.609351622,1.17397932
3137,4.14,1.871987207,0.509729647,-0.119674053,3.486137671,0.452124231,-1.50473907,-0.68137001,0.80646567,0,3.840559145,0.775002846,-0.90570012,-1.636205296,1.68478812,1.831234604,1.872092396,0.498672666,-0.114880079,3.452463176,0.291021426,-1.463840911,-0.772119365,-0.133624653,0,3.838149052,0.436919091,-0.898643639,-1.699717948,1.619505964,1.578645835,1.894653153,0.604910198,-0.060578253,3.35297805,0.056001926,-1.435711087,-0.97287471,1.134460257,0,3.75894117,-0.081953894,-0.313475366,-1.837769142,1.595434929,1.45730313,1.874494896,0.509588304,-0.121828648,3.448947817,0.291231341,-1.462285284,-0.774028323,-0.434571711,0,3.832154906,0.626977809,-1.008936574,-1.706257052,1.624086265,1.63738276
3138,4.12,1.947357851,0.598675214,-0.119674053,3.528747766,0.395422081,-1.523138489,-0.726278346,0.202323965,0,4.191174654,0.907373704,-1.056351382,-1.60522691,1.687588004,2.020697782,1.945825843,0.587076874,-0.114880079,3.50569595,0.247885317,-1.483741025,-0.819184537,-0.133624653,0,4.18837913,0.517570314,-1.045141371,-1.669927178,1.623327715,1.74608545,1.977909534,0.692520747,-0.060578253,3.436627157,0.024067505,-1.45756074,-1.024987087,1.428585806,0,4.105669524,-0.042456387,-0.416174632,-1.803355147,1.602512661,1.611366911,1.949737724,0.598001531,-0.121828648,3.502724869,0.246443752,-1.481735183,-0.820700573,-0.434571711,0,4.183330766,0.681454636,-1.150999043,-1.675900069,1.62796355,1.80640149
3139,4.57,1.830231019,0.420784079,-0.119674053,3.493260496,0.507994884,-1.491784719,-0.624825238,-0.099746888,0,4.218982019,0.873306097,-1.021941026,-1.64133965,1.685813501,1.997887061,1.836801591,0.410268457,-0.114880079,3.481193618,0.349686627,-1.45425521,-0.720912584,-0.133624653,0,4.233932739,0.553228014,-1.035925485,-1.67875796,1.621363043,1.703064126,1.86858293,0.561104923,-0.060578253,3.421297654,0.128116536,-1.430159332,-0.931806381,1.281523032,0,4.184268727,0.028539187,-0.457729778,-1.806827563,1.601128831,1.625710741,1.838551967,0.421175077,-0.121828648,3.475903309,0.349990906,-1.452176479,-0.72219071,0.789164329,0,4.227461474,0.705234773,-1.115521007,-1.686689106,1.625848968,1.75506433
3140,4.63,1.946721565,0.598675214,-0.119674053,3.527998145,0.395600408,-1.526309404,-0.735889747,-0.099746888,0,4.216544613,0.815382724,-1.018191484,-1.572251006,1.685800679,1.991935641,1.946342796,0.631278978,-0.114880079,3.497296062,0.241661155,-1.483896315,-0.8298842,-0.133624653,0,4.225478763,0.499026367,-1.013410182,-1.613860036,1.619886748,1.686392649,1.979279054,0.736326021,-0.060578253,3.428792429,0.017671277,-1.455266294,-1.032875745,1.281523032,0,4.17625144,-0.058161095,-0.365452337,-1.719648469,1.598136692,1.566408911,1.949187612,0.642208145,-0.121828648,3.494425911,0.241367783,-1.48212202,-0.831209092,-0.434571711,0,4.219050189,0.68720358,-1.111215069,-1.620849902,1.624577419,1.744365863
3141,4.85,1.853619997,0.465256863,-0.119674053,3.471586415,0.463029276,-1.488094046,-0.628659833,-0.401817741,0,4.207783717,0.706625297,-1.02656286,-1.88148478,1.696254204,2.161219219,1.841796828,0.454470561,-0.114880079,3.440234277,0.315822891,-1.446518249,-0.715978715,-0.747204383,0,4.20042555,0.404609281,-0.972125303,-1.926947684,1.629128045,1.84067739,1.883020245,0.604910198,-0.060578253,3.372199897,0.080726458,-1.418290137,-0.921504133,1.575648581,0,4.144416842,-0.118816024,-0.35263338,-2.097182392,1.608744686,1.726824776,1.847112337,0.46538169,-0.121828648,3.437319622,0.313449857,-1.445207415,-0.719408503,-0.434571711,0,4.196081063,0.598499851,-1.074319523,-1.938933289,1.634014923,1.90807206
3142,4.58,1.768021664,0.331838512,-0.119674053,3.417205402,0.525497133,-1.444074371,-0.527839805,-0.401817741,0,4.11032608,0.767662459,-0.97267264,-1.872074723,1.690159228,1.89971712,1.759744519,0.321864249,-0.114880079,3.388823608,0.371830156,-1.406711839,-0.616227586,-0.133624653,0,4.104264473,0.404177229,-0.91063975,-1.925478765,1.624040062,1.623259643,1.800290993,0.473494375,-0.060578253,3.313330355,0.130360698,-1.382820785,-0.82920306,1.575648581,0,4.042363827,-0.081289219,-0.313102224,-2.068554467,1.601518931,1.484382053,1.764438642,0.33276185,-0.121828648,3.384278995,0.36945038,-1.405484184,-0.619986356,-0.434571711,0,4.098472069,0.611617716,-1.021228403,-1.937293532,1.628733443,1.686083957
3143,4.88,1.646278607,0.198420161,-0.119674053,3.366090688,0.639539098,-1.402183979,-0.424142415,-0.099746888,0,4.037058735,0.627932204,-0.787766397,-1.818055393,1.68185302,1.69395485,1.646179438,0.23346004,-0.114880079,3.345708963,0.473153027,-1.369383813,-0.519703455,-0.133624653,0,4.039971957,0.350695763,-0.774160698,-1.874016167,1.617242117,1.456762802,1.689320753,0.385883826,-0.060578253,3.26247783,0.219187186,-1.350728721,-0.749472188,1.575648581,0,3.966168686,-0.063270357,-0.257724399,-2.011658517,1.593686028,1.334008427,1.649648713,0.244348622,-0.121828648,3.339339371,0.471753711,-1.368099318,-0.52339944,0.789164329,0,4.031228728,0.539456374,-0.888987529,-1.885951831,1.621732738,1.527089136
3144,4.98,1.623720525,0.153947378,-0.119674053,3.373123569,0.674665472,-1.397473785,-0.399295899,-0.401817741,0,3.995451289,0.777133269,-0.896414655,-1.775289811,1.680286972,1.660218525,1.626091082,0.189257936,-0.114880079,3.353363685,0.502735065,-1.364654229,-0.498241198,-0.133624653,0,4.003510686,0.39123562,-0.834259386,-1.831799977,1.615961796,1.448138823,1.68068819,0.385883826,-0.060578253,3.286912264,0.245708573,-1.34689413,-0.733591946,1.722711356,0,3.93658656,-0.009732987,-0.305100744,-1.976284231,1.594686406,1.308971,1.629949992,0.200142009,-0.121828648,3.348322293,0.502114165,-1.363401644,-0.501691505,-0.434571711,0,3.994620154,0.565597913,-0.927424758,-1.844291823,1.620618889,1.498240326
3145,5.02,1.636753435,0.242892945,-0.119674053,3.324155688,0.618240168,-1.396160151,-0.428785166,-0.401817741,0,3.967264451,0.622263918,-0.781126877,-1.66980596,1.669143578,1.629219815,1.635620642,0.23346004,-0.114880079,3.307660976,0.458181271,-1.357266055,-0.515019033,-0.747204383,0,3.977925897,0.346208526,-0.753274645,-1.727974027,1.606136422,1.428289598,1.693234275,0.4296891,-0.060578253,3.24695957,0.204171699,-1.333300313,-0.735584045,1.722711356,0,3.928025325,-0.123110256,-0.18178685,-1.849415354,1.584712936,1.245582498,1.640783339,0.244348622,-0.121828648,3.303646472,0.456296502,-1.356646776,-0.519564931,-0.434571711,0,3.970885101,0.465847008,-0.81725366,-1.737004721,1.610704601,1.483475173
3146,4.67,1.687241477,0.242892945,-0.119674053,3.356011199,0.578799374,-1.426055387,-0.484307047,-0.401817741,0,3.966893909,0.557870354,-0.704676795,-1.509983427,1.663933717,1.57184907,1.686985352,0.277662144,-0.114880079,3.333353939,0.416194915,-1.384800495,-0.572194603,-0.133624653,0,3.975946966,0.290005057,-0.68712992,-1.561181346,1.600628497,1.352400193,1.737046002,0.473494375,-0.060578253,3.271246803,0.171577189,-1.357093445,-0.788887864,1.722711356,0,3.931489424,-0.160445709,-0.141995819,-1.655423463,1.578640276,1.167220644,1.691805334,0.288555236,-0.121828648,3.331042917,0.415612779,-1.383878729,-0.575859735,-0.434571711,0,3.971203649,0.42637894,-0.770993276,-1.56882225,1.605326769,1.422721576
3147,4.94,1.626873222,0.287365729,-0.119674053,3.187806538,0.521263577,-1.371106899,-0.450262485,-0.099746888,0,3.777237525,0.681445695,-0.700553457,-1.679262794,1.654022218,1.765775645,1.632143157,0.321864249,-0.114880079,3.176948358,0.367527269,-1.329194748,-0.528584624,-0.747204383,0,3.78893797,0.330922662,-0.639718629,-1.713148612,1.591238253,1.473411969,1.668162471,0.473494375,-0.060578253,3.105230376,0.135452793,-1.29762257,-0.730013743,1.722711356,0,3.731640511,-0.101781492,-0.148466246,-1.861894704,1.569393429,1.441909606,1.634018615,0.33276185,-0.121828648,3.169847361,0.366331231,-1.328940074,-0.533058121,0.789164329,0,3.781438783,0.513971011,-0.732216828,-1.718427907,1.595191775,1.524405283
3148,5,1.772810733,0.598675214,-0.119674053,3.219836222,0.365695029,-1.399540189,-0.5659546,-0.099746888,0,3.707197686,0.730461902,-0.773481812,-1.695017587,1.658643039,1.827693261,1.763008018,0.587076874,-0.114880079,3.199531343,0.234925532,-1.357996071,-0.643068387,-0.747204383,0,3.720280111,0.305769592,-0.671597299,-1.720181613,1.594077028,1.534051773,1.805480089,0.780131296,-0.060578253,3.142617896,0.0113651,-1.329755904,-0.849718472,1.575648581,0,3.668376804,-0.156382703,-0.134080302,-1.871537966,1.574104356,1.444903462,1.768590752,0.598001531,-0.121828648,3.195983816,0.230859092,-1.357665056,-0.647927781,-0.434571711,0,3.711841579,0.444206368,-0.7464053,-1.735850611,1.598971971,1.588220458
3149,4.9,1.737312413,0.598675214,-0.119674053,3.210473369,0.401375584,-1.399572562,-0.55905835,-0.099746888,0,3.720414114,0.659202244,-0.637208539,-1.613437376,1.652913688,1.605727513,1.733424125,0.587076874,-0.114880079,3.187663893,0.25941754,-1.357959771,-0.640840089,-0.133624653,0,3.723872796,0.275864584,-0.557717549,-1.627932098,1.588047422,1.329308315,1.774457031,0.736326021,-0.060578253,3.121921671,0.030511486,-1.327975532,-0.849089637,1.722711356,0,3.677327599,-0.153527769,-0.06007767,-1.760812687,1.566565739,1.225119544,1.738189101,0.598001531,-0.121828648,3.184670723,0.256864944,-1.357209074,-0.644453635,0.789164329,0,3.71867457,0.386850891,-0.619946325,-1.644248195,1.593034084,1.388385337
3150,4.32,1.686182303,0.465256863,-0.119674053,3.247054367,0.493555693,-1.400365368,-0.511681373,-0.099746888,0,3.730316033,0.764780248,-0.71294937,-1.587713436,1.65575845,1.493352697,1.687566351,0.454470561,-0.114880079,3.234973926,0.345084612,-1.361120517,-0.595743346,-0.133624653,0,3.740771695,0.305921587,-0.589806224,-1.602976308,1.592050142,1.252383612,1.724957409,0.604910198,-0.060578253,3.171763688,0.117716313,-1.336078774,-0.810040925,1.575648581,0,3.688884494,-0.113789024,-0.108975472,-1.714186368,1.57014997,1.128875575,1.690112166,0.421175077,-0.121828648,3.228075818,0.343092643,-1.360843981,-0.600279056,0.789164329,0,3.73291251,0.471936132,-0.672679546,-1.617928009,1.596557281,1.305583432
3151,4.94,1.81453912,0.55420243,-0.119674053,3.375292986,0.436051275,-1.443179307,-0.586238364,0.202323965,0,3.887113494,0.836569102,-0.85995896,-1.530763274,1.667190536,1.6819017,1.814215115,0.587076874,-0.114880079,3.356657606,0.288306064,-1.409490476,-0.681718508,-0.133624653,0,3.900883144,0.415104365,-0.818604901,-1.543781005,1.60221641,1.424311706,1.852524152,0.736326021,-0.060578253,3.28999806,0.059056389,-1.392103943,-0.908907416,1.428585806,0,3.848061142,-0.117042916,-0.218749226,-1.638822109,1.579935722,1.28263702,1.817871895,0.553794918,-0.121828648,3.352090659,0.286296642,-1.408094884,-0.684438589,-0.434571711,0,3.891990373,0.611955167,-0.923592529,-1.558389886,1.607027572,1.475444334
